LAST NAME,FIRST NAME,DOB,POB,SSN,SEX,STREET NUMBER,STREET NAME,VOTER REG DATE,PARTY 
FOLEY,Katrina,1915/12/3,Alderwood,304-07-2220,FEMALE,2506,FOXGLOVE,1935/2/1,REPUBLICAN
HENDERSON,Lee,1914/7/22,Oregon,392-47-1597,MALE,3748,SERENGETI,1935/2/2,REPUBLICAN
BALL,Maria,1913/3/10,Montana,453-78-5010,FEMALE,161,BLUEBERRY,1935/2/3,REPUBLICAN
BARRO,Nate,1914/7/24,Alderwood,339-30-5748,MALE,2898,LAUREL,1935/2/4,REPUBLICAN
BARNES,Ophelia,1911/10/29,Utah,038-88-3887,FEMALE,870,SPHYNX,1935/2/5,REPUBLICAN
BARRETT,Philippe,1913/3/13,Alderwood,981-77-2037,MALE,2730,CORGI,1935/2/6,REPUBLICAN
BARRY,Rita,1915/12/9,California,133-75-0236,FEMALE,208,BIRCH,1935/2/7,INDEPENDENT
OLIVEIRA,Stan,1917/2/12,MARYLAND,598-80-0600,MALE,219,CORNISH,1935/2/8,DEMOCRAT
ORGILL,Tammy,1913/3/16,Alderwood,639-37-4127,FEMALE,575,HONEYSUCKLE,1935/2/9,DEMOCRAT
WHITING,Vince,1913/3/17,Alderwood,915-29-6995,MALE,1512,ASIAN,1935/2/10,DEMOCRAT
WHITMAN,Wilma,1913/3/18,Alderwood,437-05-9624,FEMALE,509,ASIAN,1935/2/11,DEMOCRAT
FARMER,Alberto,1913/3/19,Alderwood,882-08-8610,MALE,110,SALMON,1935/2/12,DEMOCRAT
BEAR,Beryl,1913/3/20,Wyoming,519-31-2353,FEMALE,105,FIRST ,1935/2/13,REPUBLICAN
BEAN,Chris,1914/8/3,Alderwood,901-08-2562,MALE,231,OLIVE,1935/2/14,REPUBLICAN
BECHTOL,Debby,1911/11/8,Utah,653-98-4022,FEMALE,265,BURMESE,1935/2/15,REPUBLICAN
BELL,Ernesto,1913/3/23,Alderwood,825-49-6255,MALE,2100,FOURTH,1935/2/16,REPUBLICAN
BENDER,Florence,1914/8/6,Alderwood,596-34-1721,FEMALE,469,FIRST ,1935/2/17,REPUBLICAN
BISSON,Gordon,1915/12/20,Alderwood,180-83-6118,MALE,434,BUTTONWOOD,1935/2/18,REPUBLICAN
BLACK,Helene,1915/12/21,Alderwood,200-96-6007,FEMALE,420,KINNIKINICK,1935/2/19,REPUBLICAN
BLUE,Isaac,1961/1/2,Alderwood,114-73-0118,MALE,1116,MARIGOLD,1935/2/20,INDEPENDENT
BLAKE,Joyce,1905/1/9,Alderwood,572-48-5168,FEMALE,343,BASSET,1935/2/21,DEMOCRAT
JOHNSON,Kirk,1911/11/15,MEXICO,703-45-0812,MALE,139,SPANIEL,1935/2/22,DEMOCRAT
WHITFORD,Leslie,1916/2/28,ARIZONA,435-07-8607,FEMALE,303,THIRTEENTH,1935/2/23,DEMOCRAT
BOWYER,Michael,1914/8/13,Wyoming,433-22-4353,MALE,800,FIFTEENTH,1935/2/24,DEMOCRAT
LARSON,Nadine,1915/12/27,Alderwood,563-25-4781,FEMALE,1636,SIAMESE,1935/2/25,DEMOCRAT
BORBELY,Oscar,1915/12/28,Alderwood,534-17-2364,MALE,1155,THIRD,1935/2/26,REPUBLICAN
HOLLOMON,Patty,1915/12/29,MEXICO,179-05-3614,FEMALE,935,JAVANESE,1935/2/27,REPUBLICAN
FONTANA-SMITH,Rafael,1916/3/4,Alderwood,809-17-0755,MALE,1292,ELEVENTH,1935/2/28,REPUBLICAN
PLACET,Sandy,1913/4/5,Montana,342-15-8432,FEMALE,218,TWENTIETH,1935/3/1,REPUBLICAN
SKELLY,Tony,8-Apr-34,MEXICO,337-62-1219,MALE,704,TENTH,1935/3/2,REPUBLICAN
GRINSTEIN,Valerie,1913/4/7,ARIZONA,049-12-5477,FEMALE,1405,BARBERRY,1935/3/3,REPUBLICAN
JOHNSON,William,1913/4/8,Washington,122-74-5619,MALE,7,HOLLY,1935/3/4,REPUBLICAN
SKUMANICH,Andrea,1916/1/4,Montana,213-93-7894,FEMALE,16,BIRCH,1935/3/5,INDEPENDENT
HUND,Barry,1916/1/5,Alderwood,647-33-7104,MALE,1267,STRAWBERRY,1935/3/6,DEMOCRAT
DONALDSON,Chantal,1911/11/28,Montana,523-67-8301,FEMALE,43,FOURTEENTH,1935/3/7,DEMOCRAT
STONE,Dean,1917/3/12,ALASKA,333-95-2592,MALE,176,PANSY,1935/3/8,DEMOCRAT
BARTHA,Erin,1913/4/13,Alderwood,672-48-7134,FEMALE,41,ALDER,1935/3/9,DEMOCRAT
STOPPANI,Felix,1916/3/14,Montana,030-70-7386,MALE,86,PANSY,1935/3/10,DEMOCRAT
DIEFENDERFER,Gabrielle,1914/8/28,Alderwood,491-38-0832,FEMALE,1491,BARREL,1935/3/11,REPUBLICAN
HANSEN,Humberto,1916/3/16,Alderwood,578-74-0596,MALE,2268,TENTH,1935/3/12,REPUBLICAN
THOMAS,Ingrid,8-Apr-34,Alderwood,231-30-1465,FEMALE,1260,PRICKLYPEAR,1935/3/13,REPUBLICAN
SCHULTZ,Jerry,1916/1/13,Alderwood,090-62-0194,MALE,2506,ROSEHIP,1935/3/14,REPUBLICAN
FELLER,Karen,1917/3/19,Oregon,619-24-0896,FEMALE,3700,CORGI,1935/3/15,REPUBLICAN
FULLMER,Lorenzo,1913/4/20,Montana,920-62-1249,MALE,150,AFGHAN,1935/3/16,REPUBLICAN
YE,Melissa,1914/9/3,Alderwood,267-34-1980,FEMALE,1001,NINETEENTH ,1935/3/17,REPUBLICAN
ROBERTS,Noel,1913/4/22,MEXICO,395-11-6705,FEMALE,183,MUNCHKIN,1935/3/18,INDEPENDENT
CHAVEZ-TAPIA,Olga,1913/4/23,NEW YORK,075-75-9859,FEMALE,184,SECOND,1935/3/19,DEMOCRAT
BEDOYA,Pablo,1916/1/19,California,563-05-5056,MALE,180,CLOUDBERRY,1935/3/20,DEMOCRAT
VINSKEY,Rebekah,1917/3/25,Alderwood,845-09-5144,FEMALE,441,MALTESE,1935/3/21,DEMOCRAT
COCA,Sebastien,1914/9/8,Alderwood,322-14-1084,MALE,142,JAVANESE,1935/3/22,DEMOCRAT
RODRIGUEZ,Tanya,1916/1/22,ARIZONA,364-20-3054,FEMALE,451,HAWTHORN,1935/3/23,DEMOCRAT
HONE,Van,1914/9/10,Mexico,186-78-5535,MALE,1200,AKITA,1935/3/24,REPUBLICAN
SVANCARA,Wendy,1916/3/29,ARIZONA,355-08-3031,FEMALE,473,SECOND,1935/3/25,REPUBLICAN
CONWAY,Arthur,1914/9/12,California,055-90-6618,MALE,19,ABYSSINIAN,1935/3/26,REPUBLICAN
HINTON,Bertha,1913/5/1,Utah,487-05-7663,FEMALE,65,SOMALI,1935/3/27,REPUBLICAN
THOMPSON,Cristobal,1914/9/14,ARIZONA,605-34-7345,MALE,79,FOXGLOVE,1935/3/28,REPUBLICAN
MCKINLEY,Dolly,1916/1/28,Utah,212-71-1720,FEMALE,225,BURMESE,1935/3/29,REPUBLICAN
SHIRLEY,Edouard,1916/1/29,Alderwood,804-61-6864,MALE,364,ELDERBERRY,1935/3/30,REPUBLICAN
JOHNS,Fay,1916/4/4,Alderwood,292-14-9570,FEMALE,1582,BITTEROOT,1935/3/31,INDEPENDENT
ZIMMERMAN,Gustav,1914/9/18,Alderwood,686-08-3659,MALE,2254,THISTLE,1935/4/1,DEMOCRAT
JONES,Hanna,1911/12/24,Alderwood,141-32-7444,FEMALE,490,ASTER,1935/4/2,DEMOCRAT
MARTIN,Ike,1911/12/25,Oregon,230-37-9460,MALE,2089,ELDERBERRY,1935/4/3,DEMOCRAT
ELSHAFEY,Josephine,1911/12/26,Montana,365-41-0293,FEMALE,115,PEONY,1935/4/4,DEMOCRAT
KHAN,Kyle,1914/9/22,ARIZONA,858-80-4022,MALE,895,CRANBERRY,1935/4/5,DEMOCRAT
ELIZONDO,Laura,1913/5/11,Alderwood,878-37-8958,FEMALE,805,LUPIN,1935/4/6,REPUBLICAN
DOHNALKOVA,Marco,8-Apr-34,Utah,638-36-1972,MALE,149,BOXER,1935/4/7,REPUBLICAN
CUI,Nana,1911/12/30,Alderwood,958-54-5745,FEMALE,1022,BASSET,1935/4/8,REPUBLICAN
WITTEVEEN,Omar,8-Apr-34,Alderwood,799-45-6054,MALE,2856,SNOWSHOE,1935/4/9,REPUBLICAN
DEC,Paloma,1913/5/15,Utah,536-31-4202,FEMALE,181,CRANBERRY,1935/4/10,REPUBLICAN
BYRNE,Rene,1917/4/15,Mexico,172-52-2811,FEMALE,945,THIRD,1935/4/11,REPUBLICAN
STRAUB,Sally,1916/4/16,Oregon,859-98-5587,FEMALE,196,PANSY,1935/4/12,REPUBLICAN
VELA,Teddy,1913/5/18,Washington,641-32-2210,FEMALE,742,EIGHTEENTH,1935/4/13,INDEPENDENT
MCDOWELL,Vicky,1916/2/13,Alderwood,607-12-9038,FEMALE,557,FIRST ,1935/4/14,DEMOCRAT
STRUB,Wilfred,1916/4/19,Alderwood,063-48-2953,MALE,450,MALTESE,1935/4/15,DEMOCRAT
WATROUS,Ana,1914/10/3,Alderwood,989-30-9509,FEMALE,1659,FIRST ,1935/4/16,DEMOCRAT
FANG,Bill,8-Apr-34,Alderwood,367-84-8928,MALE,777,GINGER,1935/4/17,DEMOCRAT
FARIS,Claudette,1917/4/22,Montana,496-56-6938,FEMALE,53,MASTIFF,1935/4/18,DEMOCRAT
HAMMERSTROM,Danny,1914/10/6,Alderwood,057-09-6111,MALE,287,ROSE,1935/4/19,REPUBLICAN
CLEARY,Erika,1913/5/25,Alderwood,845-91-3426,FEMALE,236,TWELVTH,1935/4/20,REPUBLICAN
ANKRUM,Fred,1916/2/20,Alderwood,275-82-9671,MALE,580,SINGAPURA,1935/4/21,REPUBLICAN
PUGH,Grace,1913/5/27,Mexico,992-10-1148,FEMALE,390,AKITA,1935/4/22,REPUBLICAN
MOFFITT,Henri,1913/5/28,Alderwood,384-56-7914,MALE,1742,STURGEON,1935/4/23,REPUBLICAN
LIU,Ida,1916/2/23,NEW YORK,300-64-6845,FEMALE,602,GINGER,1935/4/24,REPUBLICAN
SARIPALLI,Joaquin,1913/5/30,Alderwood,620-37-3283,FEMALE,1319,CORNISH,1935/4/25,REPUBLICAN
NASH,Kate,1910/9/4,Alderwood,575-04-0788,FEMALE,812,FIRST ,1935/4/26,INDEPENDENT
MAYER,Larry,1912/1/18,NEBRASKA,408-46-3237,MALE,275,THISTLE,1935/4/27,DEMOCRAT
NETTER,Mindy,1913/6/2,Oregon,016-88-8978,FEMALE,3817,NINTH,1935/4/28,DEMOCRAT
PARDINI,Nicholas,1913/6/3,Alderwood,837-27-9001,MALE,2954,ABYSSINIAN,1935/4/29,DEMOCRAT
ARIMESCU,Odette,1916/2/29,Montana,195-01-4955,FEMALE,182,KOMONDOR,1935/4/30,DEMOCRAT
EVANS-PATTON,Peter,1913/6/5,Alderwood,098-30-8244,MALE,1155,CLOUDBERRY,1935/5/1,DEMOCRAT
MORRA,Rose,8-Apr-34,Utah,018-83-9734,FEMALE,1015,ESKIMO,1935/5/2,REPUBLICAN
KATIPAMULA,Sam,1914/10/20,Idaho,647-52-1936,MALE,199,BASENJI,1935/5/3,REPUBLICAN
CHAMBERLIN,Teresa,1916/3/4,Alderwood,277-90-7862,FEMALE,1582,OLIVE,1935/5/4,REPUBLICAN
SCHMIDT,Victor,1914/10/22,NEW YORK,887-16-0658,MALE,234,HIMALAYA,1935/5/5,REPUBLICAN
GODOY-KAIN,Wanda,1916/3/6,Alderwood,247-23-2398,FEMALE,3395,JAVANESE,1935/5/6,REPUBLICAN
ELLIOTT,THOMAS,1914/10/24,Utah,493-49-2061,MALE,1140,SELKIRK,1935/5/7,REPUBLICAN
TABUYO-GALLEGOS,MARY,8-Apr-34,Alderwood,763-85-9286,FEMALE,668,CORNISH,1935/5/8,REPUBLICAN
BROCK,JAMES,1913/6/13,MEXICO,175-01-7474,MALE,555,CHOLLA,1935/5/9,INDEPENDENT
LATORRE,PATRICIA,1913/6/14,Alderwood,689-57-6660,FEMALE,1211,LAUREL,1935/5/10,DEMOCRAT
ZULJEVIC,JOHN,1976/11/30,Alderwood,381-23-5663,MALE,827,MAIN,1935/5/11,DEMOCRAT
TSILIGARIDIS,LINDA,1916/3/12,Alderwood,313-63-2996,FEMALE,2688,TWELVTH,1935/5/12,DEMOCRAT
NIEPLOCHA,ROBERT,1914/10/30,California,673-55-2411,MALE,203,BALINESE,1935/5/13,DEMOCRAT
GOWRI,BARBARA,1913/6/18,Idaho,116-46-8981,FEMALE,18,RAGDOLL,1935/5/14,DEMOCRAT
STEELE,MICHAEL,1914/11/1,Alderwood,298-51-5537,MALE,959,BEAGLE,1935/5/15,REPUBLICAN
MCCUE,ELIZABETH,1912/2/6,California,238-10-7572,FEMALE,80,CORALBERRY,1935/5/16,REPUBLICAN
KNOBBS,WILLIAM,1913/6/21,Alderwood,928-01-2951,MALE,1254,MALAMUTE,1935/5/17,REPUBLICAN
GALLEGOS,JENNIFER,1916/3/18,Alderwood,154-50-8032,FEMALE,967,CORGI,1935/5/18,REPUBLICAN
PERRY,DAVID,1917/5/23,ARIZONA,441-81-0666,MALE,48,SUNSET,1935/5/19,REPUBLICAN
SANDE,MARIA,1913/6/24,Alderwood,373-05-4698,FEMALE,1511,BUFFALOBERRY,1935/5/20,REPUBLICAN
POPE,RICHARD,1913/6/25,Alderwood,465-51-8566,MALE,3038,SEVENTEENTH,1935/5/21,REPUBLICAN
DU,SUSAN,1913/6/26,Oregon,422-54-8840,FEMALE,3682,ROSEHIP,1935/5/22,INDEPENDENT
DEMYER,CHARLES,1913/6/27,Alderwood,980-78-7185,MALE,1841,LOCUST,1935/5/23,DEMOCRAT
LEI,MARGARET,1913/6/28,Oregon,437-21-0510,FEMALE,2245,PRICKLYPEAR,1935/5/24,DEMOCRAT
SALISBURY-MILLER,JOSEPH,1914/11/11,Montana,139-41-4355,MALE,126,TWINBERRY,1935/5/25,DEMOCRAT
PENNER,DOROTHY,1912/2/16,INDIANA,632-60-3388,FEMALE,119,AIREDALE,1935/5/26,DEMOCRAT
ZHANG,JOSEPH,1913/7/1,ARIZONA,870-20-1448,MALE,243,SEVENTEENTH,1935/5/27,DEMOCRAT
VUTA,BETH,1914/11/14,RHODE ISLAND,440-79-5991,FEMALE,20,SWEET PEA,1935/5/28,REPUBLICAN
VILLA,BRAD,1916/3/29,ARIZONA,306-73-6000,MALE,187,SNOWBERRY,1935/5/29,REPUBLICAN
BUTNER,CARRIE,1916/3/30,Alderwood,559-84-2722,FEMALE,942,COON,1935/5/30,REPUBLICAN
HEREDIA-LANGNER,DONALD,8-Apr-34,Alderwood,749-41-5273,MALE,1317,SAVANNAH,1935/5/31,REPUBLICAN
WRIGHT,CAROLINE,1905/4/19,Alderwood,727-22-8278,FEMALE,42,PINE,1935/6/1,REPUBLICAN
OOSTROM,DENNIS,1912/2/23,FLORIDA,017-24-2809,MALE,302,HONEYSUCKLE,1935/6/2,REPUBLICAN
REX,KATY,1916/6/7,Alderwood,548-70-0133,FEMALE,2464,STURGEON,1935/6/3,REPUBLICAN
JOHNSON,WAYNE,1914/11/21,ARIZONA,735-23-8262,MALE,707,LOCUST,1935/6/4,INDEPENDENT
COLEMAN,CYNTHIA,1916/4/5,Oregon,207-26-7670,FEMALE,295,CORGI,1935/6/5,DEMOCRAT
ONISHI,NEAL,1916/4/6,Alderwood,102-63-1416,MALE,2450,CHIHUAHUA,1935/6/6,DEMOCRAT
GIBSON,NATALIE,1916/4/7,Oregon,844-15-2739,FEMALE,859,SEVENTH,1935/6/7,DEMOCRAT
WHELAN,MIKE,1916/6/12,OKLAHOMA,283-68-1988,MALE,1610,FIFTEENTH,1935/6/8,DEMOCRAT
DENG,KIMBERLY,1913/7/14,ARIZONA,783-71-2358,FEMALE,273,KOMONDOR,1935/6/9,DEMOCRAT
FU,SCOTT,8-Apr-34,MEXICO,478-83-0625,MALE,677,WASHINGTON,1935/6/10,REPUBLICAN
DIBRANI,BECKY,1913/7/16,CONNECTICUT,993-06-1493,FEMALE,53,BITTEROOT,1935/6/11,REPUBLICAN
NIGL,THOMAS,1913/7/17,Alderwood,267-68-9671,MALE,3304,ASTER,1935/6/12,REPUBLICAN
NICKLESS,REBECAH,1916/4/13,Washington,848-87-7201,FEMALE,205,BASSET,1935/6/13,REPUBLICAN
VEDULA,STEVEN,1916/4/14,INDIANA,059-49-5684,MALE,226,LAUREL,1935/6/14,REPUBLICAN
KLUSE,KELLY,1912/3/7,ARIZONA,995-26-3862,FEMALE,259,EIGHTH,1935/6/15,REPUBLICAN
TIPPARAJU,RICHARD,1917/6/20,Alderwood,099-38-9777,MALE,1295,BEAGLE,1935/6/16,REPUBLICAN
KALMAN,ANGELA,1913/7/22,Alderwood,675-72-0119,FEMALE,1829,BOXWOOD,1935/6/17,INDEPENDENT
LOUIE,WILLIAM,1916/6/22,Alderwood,778-89-6358,MALE,849,KINNIKINICK,1935/6/18,DEMOCRAT
KERY,MICHELLE,1914/12/6,ARIZONA,915-04-7802,FEMALE,315,TWINBERRY,1935/6/19,DEMOCRAT
RESAT,ROBERT,1916/6/24,Oregon,391-06-4556,MALE,2125,STRAWBERRY,1935/6/20,DEMOCRAT
AHMED,AMY,8-Apr-34,NEW HAMPSHIRE,185-94-6821,FEMALE,49,JAVANESE,1935/6/21,DEMOCRAT
GOPALAN,KENNETH,1916/4/22,Alderwood,563-06-6031,MALE,784,PERSIMMON,1935/6/22,DEMOCRAT
QIAN,MELISSA,1917/6/27,California,144-65-7958,FEMALE,159,SASKATOON,1935/6/23,REPUBLICAN
BROTHERTON,JEFFERY,1913/7/29,KANSAS,771-04-8397,MALE,209,CHOLLA,1935/6/24,REPUBLICAN
DONNELLY,HEATHER,1914/12/12,Alderwood,686-59-2276,FEMALE,991,CHOLLA,1935/6/25,REPUBLICAN
MALARD,CHRISTOPHER,1913/7/31,ARIZONA,895-69-4224,MALE,288,ESKIMO,1935/6/26,REPUBLICAN
LU,STEPHANIE,1913/8/1,ARIZONA,440-67-8088,FEMALE,211,SPANIEL,1935/6/27,REPUBLICAN
MACHSHANOVA,JOHN,1916/4/28,Montana,892-72-2684,MALE,118,TERRIER,1935/6/28,REPUBLICAN
FJELD,LAUREN,1917/7/3,Oregon,471-63-1546,MALE,3478,COONHOUND,1935/6/29,REPUBLICAN
BENSON,BRIAN,1914/12/17,Alderwood,151-01-4656,MALE,1780,HIMALAYA,1935/6/30,INDEPENDENT
WALKER,NICOLE,1916/5/1,Utah,715-03-6998,FEMALE,183,BOMBAY,1935/7/1,DEMOCRAT
VIVEROS,JASON,1914/12/19,Oregon,524-32-7790,MALE,2578,MUNCHKIN,1935/7/2,DEMOCRAT
ANDERSON,AMANDA,1916/7/7,Alderwood,103-80-6775,FEMALE,3388,SELKIRK,1935/7/3,DEMOCRAT
FELDHAUS,SCOTT,1914/12/21,Alderwood,003-06-7365,MALE,3164,COON,1935/7/4,DEMOCRAT
MAYER-CUMBLIDGE,BRITTANY,1913/8/9,California,183-24-0133,FEMALE,44,EIGHTEENTH,1935/7/5,DEMOCRAT
HUANG,MATTHEW,1914/12/23,MASSACHUSETTS,434-53-0668,MALE,337,EIGHTH,1935/7/6,REPUBLICAN
LIN,RACHEL,1916/5/7,Alderwood,655-21-5766,FEMALE,1351,CHOLLA,1935/7/7,REPUBLICAN
AHRAM,DANIEL,1916/5/8,Alderwood,874-94-9212,MALE,219,LOCUST,1935/7/8,REPUBLICAN
POSPICAL,MEGAN,1916/7/13,Alderwood,497-86-3723,FEMALE,882,CORNFLOWER,1935/7/9,REPUBLICAN
LEHRMAN-MYERS,JOSHUA,1914/12/27,Alderwood,289-37-7302,MALE,786,FOXGLOVE,1935/7/10,REPUBLICAN
RUNYON,EMILY,1912/4/2,Alderwood,315-41-1473,FEMALE,288,BENGAL,1935/7/11,REPUBLICAN
DRIVER,JUSTIN,1912/4/3,Alderwood,952-97-9711,MALE,2660,CORNFLOWER,1935/7/12,REPUBLICAN
CARRIERA,SARAH,1912/4/4,Idaho,812-10-1575,FEMALE,214,TURKISH,1935/7/13,INDEPENDENT
LEIFHEIT,NEWTON,1914/12/31,ARIZONA,237-95-5043,MALE,363,BOMBAY,1935/7/14,DEMOCRAT
CADD,TAYLOR,1913/8/19,Alderwood,529-36-1282,FEMALE,1134,SINGAPURA,1935/7/15,DEMOCRAT
NOLAN,RYAN,8-Apr-34,Alderwood,960-38-7966,MALE,773,COLLIE,1935/7/16,DEMOCRAT
DUCLOS,JESSICA,1912/4/8,Alderwood,944-34-7924,FEMALE,2415,RASPBERRY,1935/7/17,DEMOCRAT
DORAN,ANDREW,8-Apr-34,Alderwood,638-87-4946,MALE,1785,CHOLLA,1935/7/18,DEMOCRAT
SAMS,ASHLEY,1913/8/23,Alderwood,577-41-1424,FEMALE,481,AFGHAN,1935/7/19,REPUBLICAN
HUI,NICHOLAS,1917/7/24,Oregon,087-61-0984,MALE,2776,BEAGLE,1935/7/20,REPUBLICAN
HARBISON,SAMANTHA,1916/7/25,Alderwood,861-76-6343,FEMALE,1520,SIAMESE,1935/7/21,REPUBLICAN
HERNANDEZ,TYLER,1913/8/26,Utah,827-11-7279,MALE,1170,ANGORA,1935/7/22,REPUBLICAN
RUIZ,MADISON,1916/5/23,Alderwood,684-50-3858,FEMALE,1022,CROWBERRY,1935/7/23,REPUBLICAN
PANTHER,JACOB,1916/7/28,Utah,094-60-3490,MALE,450,THIRTEENTH,1935/7/24,REPUBLICAN
KIM,HANNAH,1915/1/11,NORTH DAKOTA,221-71-7887,FEMALE,62,BOBTAIL,1935/7/25,REPUBLICAN
GOUTHIA,ZACHARY,8-Apr-34,ILLINOIS,032-24-9296,MALE,745,ASTER,1935/7/26,INDEPENDENT
ABREFAH,KAYLA,1917/7/31,ARIZONA,615-37-5692,FEMALE,269,PIXIE,1935/7/27,DEMOCRAT
MCLAUGHLIN,BRANDON,1915/1/14,ARIZONA,791-42-1114,MALE,522,PETERBALD,1935/7/28,DEMOCRAT
CRISCUOLO,ALEXIS,1913/9/2,Alderwood,683-81-2665,FEMALE,79,PAPILION,1935/7/29,DEMOCRAT
BOLLINGER,AUSTIN,1916/5/30,Idaho,178-49-7975,MALE,16,SAGE,1935/7/30,DEMOCRAT
MILLER,LISA,1913/9/4,OKLAHOMA,674-53-8263,FEMALE,413,MUM,1935/7/31,DEMOCRAT
BARNETT,ETHAN,1913/9/5,Utah,549-84-5912,MALE,385,SUMAC,1935/8/1,REPUBLICAN
WILLIAMS,CHRISTINE,1916/6/2,Alderwood,689-03-3110,FEMALE,458,FOXGLOVE,1935/8/2,REPUBLICAN
GOFORTH,ANTHONY,1913/9/7,Alderwood,212-37-5381,MALE,731,EIGHTH,1935/8/3,REPUBLICAN
XIA,CHRISTINA,1910/12/13,Oregon,668-26-5766,FEMALE,588,FIFTH,1935/8/4,REPUBLICAN
RAI,ALEXANDER,1912/4/27,Alderwood,441-94-7071,MALE,3472,LAUREL,1935/8/5,REPUBLICAN
PANJABI,TRACY,1913/9/10,California,849-08-1692,FEMALE,241,MASTIFF,1935/8/6,REPUBLICAN
ALVAREZ,JONATHON,1913/9/11,MEXICO,294-87-8448,MALE,362,ASIAN,1935/8/7,REPUBLICAN
RUZAUSKAS,KAREN,1916/6/8,Alderwood,691-87-0917,FEMALE,1537,PERSIMMON,1935/8/8,INDEPENDENT
PRAZNIK,DYLAN,1913/9/13,Alderwood,791-21-5929,MALE,2086,PRICKLYPEAR,1935/8/9,DEMOCRAT
FELMY,SUSAN,8-Apr-34,Alderwood,695-78-3666,FEMALE,1519,TURKISH,1935/8/10,DEMOCRAT
COLBY,SAMUEL,1915/1/28,Alderwood,652-83-3416,MALE,1028,BALINESE,1935/8/11,DEMOCRAT
